stuID,schID,gender,pre_region,trans_stu,trans_pa,pre_frendship_1a,pre_frendship_2a,pre_frendship_3a,pre_frendship_4a,pre_frendship_5a,pre_frendship_1b,pre_frendship_2b,pre_frendship_3b,pre_frendship_4b,pre_frendship_5b,pre_frendship_6b,post_frendship_1a,post_frendship_2a,post_frendship_3a,post_frendship_4a,post_frendship_5a,post_frendship_1b,post_frendship_2b,post_frendship_3b,post_frendship_4b,post_frendship_5b,post_frendship_6b,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,enthu_pa_6,enthu_pa_7,enthu_pa_8,enthu_pa_9,enthu_pa_10,enthu_pa_11,SES,prefer_Hsch,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,academic_abil,trans_Y1
891,1025,1,1,2,2,5,5,5,4,3,4,5,4,4,4,3,5,5,5,5,4,4,4,4,4,4,4,5,3,3,4,4,2,3,3,4,4,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,3,200,4,0,0,0,1,0,0,0,0,148,0
892,1025,1,1,2,2,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,1,3,4,3,3,3,2,3,2,2,3,4,3,4,4,4,4,4,1,2,4,5,5,3,400,1,1,0,0,0,0,0,0,0,227.6666667,0
893,1025,2,1,2,2,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,2,4,3,3,4,3,3,3,3,2,3,4,3,3,4,2,3,4,3,4,3,4,4,3,250,5,0,0,0,0,1,0,0,0,197.3333333,0
894,1025,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5,3,3,3,4,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,350,1,1,0,0,0,0,0,0,0,185.6666667,0
895,1025,2,1,2,2,5,4,5,5,4,4,3,2,2,4,3,5,3,3,5,4,4,4,5,5,5,5,3,4,5,5,5,4,2,4,4,4,4,3,3,4,3,4,4,4,4,3,4,1,4,4,3,3,4,4,4,1,300,1,1,0,0,0,0,0,0,0,197.6666667,0
896,1025,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4,5,5,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,4,2,4,4,3,3,4,4,4,4,350,5,0,0,0,0,1,0,0,0,192.3333333,0
897,1025,2,1,2,2,4,4,5,5,4,5,5,4,4,3,3,5,4,5,5,3,3,4,5,5,5,5,5,5,4,5,5,3,3,4,4,2,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,2,3,5,4,4,200,1,1,0,0,0,0,0,0,0,188.3333333,0
898,1025,1,1,2,2,5,5,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,4,3,4,2,2,3,3,3,2,480,1,1,0,0,0,0,0,0,0,217.3333333,0
899,1025,1,1,2,2,5,5,5,5,5,-1,-1,-1,-1,-1,-1,5,5,4,5,4,4,4,4,4,4,4,5,4,4,5,5,3,2,4,3,3,4,4,3,4,4,4,3,4,4,3,3,2,4,2,2,3,3,4,4,3,8000,1,1,0,0,0,0,0,0,0,229,0
900,1025,1,1,2,2,4,4,4,5,3,5,5,5,5,5,3,5,5,4,5,5,5,5,4,4,4,5,4,3,4,5,4,3,2,3,4,3,5,4,4,4,4,4,4,4,3,2,2,2,2,3,3,2,3,3,3,2,150,1,1,0,0,0,0,0,0,0,195.3333333,0
901,1025,1,1,2,2,4,4,4,4,3,3,3,1,3,2,2,4,4,4,4,4,5,5,4,5,4,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,2,2,2,2,3,3,3,3,700,-5,0,0,0,0,0,0,0,0,208.6666667,0
902,1025,1,1,2,2,3,3,3,3,3,2,3,4,4,3,3,4,3,3,2,3,3,4,4,4,3,3,3,3,3,3,3,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,105,1,1,0,0,0,0,0,0,0,173.6666667,0
903,1025,1,1,2,2,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,5,2,2,2,4,3,2,2,3,2,2,2,2,3,4,3,3,2,4,4,4,4,4,4,3,4,500,1,1,0,0,0,0,0,0,0,208,0
904,1025,2,1,2,2,4,3,4,4,3,5,5,5,5,3,5,3,3,3,4,4,4,4,3,5,3,5,4,3,3,3,4,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,2,-1,2,0,1,0,0,0,0,0,0,166,0
905,1025,2,1,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,4,4,2,4,4,5,4,5,5,5,4,5,4,4,3,2,3,2,2,3,3,4,4,2,250,5,0,0,0,0,1,0,0,0,198.6666667,0
906,1025,1,1,2,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,4,3,3,3,2,4,2,3,2,3,3,2,4,2,3,3,4,4,4,4,3,4,300,1,1,0,0,0,0,0,0,0,174.3333333,0
907,1025,1,1,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,3,3,4,4,2,150,2,0,1,0,0,0,0,0,0,150.6666667,0
908,1025,2,1,2,2,5,5,5,5,5,3,3,5,4,3,3,3,4,4,3,4,5,5,5,5,2,2,5,5,5,5,5,2,5,5,4,2,5,5,5,5,5,5,5,5,5,5,2,1,3,5,1,1,3,3,2,1,-1,8,0,0,0,0,0,0,0,1,187.3333333,0
909,1025,2,1,2,2,4,4,3,5,4,4,4,4,4,4,4,3,3,4,3,3,3,4,5,3,4,5,4,4,3,4,5,3,3,3,4,3,4,2,2,2,2,2,3,4,3,3,4,3,3,4,4,4,4,4,3,3,190,1,1,0,0,0,0,0,0,0,188.6666667,0
910,1025,2,1,2,2,4,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,2,1,4,4,4,4,4,4,4,350,5,0,0,0,0,1,0,0,0,195.6666667,0
911,1025,2,1,2,2,5,5,5,5,4,4,4,4,5,3,5,5,4,4,5,4,4,5,4,4,4,4,4,4,2,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,4,4,4,4,4,2,300,1,1,0,0,0,0,0,0,0,207.6666667,0
912,1025,2,1,2,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,2,4,3,3,4,3,3,3,4,4,3,4,4,4,4,3,3,3,4,2,3,4,4,4,4,4,4,3,800,1,1,0,0,0,0,0,0,0,204,0
913,1025,2,1,2,2,5,4,5,5,5,4,4,5,3,4,5,-1,-1,-1,-1,-1,4,3,4,4,5,5,5,5,3,4,5,3,4,5,5,4,5,4,4,5,4,5,5,5,5,3,4,2,3,3,1,1,3,5,5,2,230,6,0,0,0,0,0,1,0,0,197,0
914,,2,1,,,5,4,4,4,4,4,4,3,4,4,4,,,,,,,,,,,,4,4,4,5,5,4,3,4,4,3,4,3,3,3,4,3,3,3,3,4,4,2,4,4,4,5,4,4,3,3,1100,5,0,0,0,0,1,0,0,0,222.3333333,1
915,1026,1,1,2,2,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,3,3,4,2,4,4,4,2,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,3,4,4,4,5,900,4,0,0,0,1,0,0,0,0,255.3333333,1
916,1026,1,1,2,2,5,4,4,5,5,4,4,3,5,4,5,5,4,4,5,5,4,4,5,5,5,5,4,5,3,4,5,4,3,3,4,4,3,4,4,3,4,3,1,2,4,3,5,3,4,4,4,4,4,4,4,3,850,3,0,0,1,0,0,0,0,0,226.6666667,2
917,2168,1,1,1,1,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,-1,-1,5,5,-1,5,5,5,5,-1,500,3,0,0,1,0,0,0,0,0,182.3333333,2
918,1026,2,1,2,2,4,4,3,3,3,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,5,5,4,3,4,4,3,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,4,4,3,1500,1,1,0,0,0,0,0,0,0,184.6666667,0
919,1026,2,1,2,2,5,5,5,5,5,4,4,-1,-1,-1,-1,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,-1,4,5,4,3,5,5,4,5,700,3,0,0,1,0,0,0,0,0,235,0
920,1026,1,1,2,2,4,4,4,3,4,4,3,3,3,4,4,4,3,3,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,1,2,1,1,1,3,2,4,4,3,4,3,4,5,3,4,4,4,3000,3,0,0,1,0,0,0,0,0,239.3333333,2
921,1026,1,1,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,5,4,4,4,4,5,2,5,4,4,4,4,4,4,3,2,4,4,4,3,3,3,2,3,3,3,3,2,2,2,4,3,2,240,3,0,0,1,0,0,0,0,0,176,1
922,1026,1,1,2,,5,5,4,5,4,4,4,3,4,5,5,5,5,5,5,4,4,4,3,3,4,4,5,4,5,5,5,5,5,5,4,3,4,4,4,4,3,4,4,3,3,3,4,4,4,3,3,3,3,3,3,2,800,3,0,0,1,0,0,0,0,0,228.6666667,1
923,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,3,3,3,4,5,5,5,5,5,4,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,1000,-5,0,0,0,0,0,0,0,0,#DIV/0!,1
924,,1,1,,,5,5,5,5,4,4,5,5,5,5,5,,,,,,,,,,,,4,5,5,4,5,4,3,4,4,3,4,4,4,4,3,3,4,3,3,4,4,5,4,5,5,4,5,5,5,3,600,4,0,0,0,1,0,0,0,0,#DIV/0!,0
925,,1,1,,,5,5,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,4,5,4,5,5,4,3,5,4,3,5,4,4,5,3,5,4,4,5,4,3,2,4,4,3,2,3,4,4,3,550,1,1,0,0,0,0,0,0,0,#DIV/0!,0
926,,1,1,,,5,4,4,5,4,4,4,3,5,3,4,,,,,,,,,,,,5,5,5,5,4,4,4,2,3,3,4,4,4,4,4,5,3,4,5,4,5,3,5,5,4,4,4,4,4,4,1400,6,0,0,0,0,0,1,0,0,#DIV/0!,0
927,,2,1,,,4,4,4,5,4,4,4,4,4,4,5,,,,,,,,,,,,4,4,3,5,4,4,4,4,4,3,4,3,3,3,3,4,3,3,3,4,3,3,4,4,4,3,4,4,4,4,650,1,1,0,0,0,0,0,0,0,#DIV/0!,0
928,,1,1,,,4,4,4,4,5,4,4,4,4,4,5,,,,,,,,,,,,5,5,4,5,4,4,4,4,4,4,5,5,4,4,3,5,4,4,4,4,4,3,3,4,4,4,3,4,3,3,900,4,0,0,0,1,0,0,0,0,#DIV/0!,1
929,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,5,5,5,5,600,3,0,0,1,0,0,0,0,0,#DIV/0!,1
930,1027,2,1,2,2,5,5,4,5,5,3,4,3,3,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,4,3,4,4,3,550,1,1,0,0,0,0,0,0,0,#DIV/0!,0
931,1027,1,1,2,2,5,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,4,4,3,3,3,3,3,3,3,3,3,4,4,4,5,4,3,4,4,4,3,4,4,4,3,1000,4,0,0,0,1,0,0,0,0,#DIV/0!,0
932,1027,1,1,2,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,2,2,4,4,4,3,5,4,3,3,4,4,3,4,3,3,4,1000,1,1,0,0,0,0,0,0,0,#DIV/0!,0
933,1027,2,1,2,2,5,5,5,5,5,5,5,3,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,3,4,2,4,3,4,3,4,4,4,4,5,4,5,5,4,4,3,500,3,0,0,1,0,0,0,0,0,#DIV/0!,0
934,1027,1,1,2,2,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,4,3,3,4,3,4,4,5,5,4,5,5,5,5,5,5,4,4,800,3,0,0,1,0,0,0,0,0,#DIV/0!,0
935,,1,1,,,5,5,5,5,5,4,5,3,5,3,5,,,,,,,,,,,,5,5,5,5,5,4,3,3,3,3,3,4,4,4,3,3,3,3,3,5,3,3,4,4,4,3,4,5,4,2,2000,4,0,0,0,1,0,0,0,0,#DIV/0!,1
936,1027,1,1,2,2,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,4,3,4,4,4,4,800,1,1,0,0,0,0,0,0,0,#DIV/0!,0
937,1027,1,1,2,2,5,5,4,5,4,1,1,1,2,1,1,5,4,4,4,4,3,2,1,4,2,4,5,5,5,4,5,5,4,4,3,3,4,4,4,4,3,4,2,4,4,4,4,3,3,4,4,3,4,4,3,4,1400,6,0,0,0,0,0,1,0,0,#DIV/0!,1
938,2001,2,1,1,1,4,5,3,4,5,5,5,5,5,5,5,4,4,4,3,4,3,3,4,3,3,3,4,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3,1,3,3,4,3,4,3,4,4,3,3,4,4,1,500,1,1,0,0,0,0,0,0,0,#DIV/0!,1
939,1027,2,1,2,2,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,2,2,2,3,4,3,3,4,4,3,3,3,4,3,2,2,4,3,3,3,4,4,5,2,700,3,0,0,1,0,0,0,0,0,#DIV/0!,1
940,1027,2,1,2,2,5,5,4,5,4,5,4,5,4,4,4,5,5,4,5,4,5,5,3,5,5,5,5,5,5,4,5,3,3,4,3,3,4,3,3,4,3,4,3,3,4,4,2,2,4,3,3,3,3,4,4,3,1500,6,0,0,0,0,0,1,0,0,#DIV/0!,2
941,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,5,3,1,1800,6,0,0,0,0,0,1,0,0,#DIV/0!,1
942,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,3,4,4,5,5,4,2,4,3,4,3,4,4,1,4,2,3,3,5,4,4,5,5,3,3,4,3,3,1,1400,3,0,0,1,0,0,0,0,0,#DIV/0!,1
943,1027,1,1,2,2,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,-1,5,0,0,0,0,1,0,0,0,#DIV/0!,0
944,1027,1,1,2,2,5,4,5,5,4,4,3,4,4,4,5,5,4,4,5,4,5,3,4,5,5,1,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,5,4,4,5,5,5,5,900,6,0,0,0,0,0,1,0,0,#DIV/0!,0
945,1027,1,1,2,2,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,5,3,4,3,4,3,4,4,4,4,4,4,4,3,500,1,1,0,0,0,0,0,0,0,#DIV/0!,0
946,1027,2,1,2,2,3,3,2,4,4,3,3,2,3,4,4,4,3,3,4,4,3,3,4,5,5,4,4,4,2,3,5,5,4,3,4,3,4,5,5,4,3,4,4,4,3,4,4,4,5,5,4,5,5,5,5,3,700,6,0,0,0,0,0,1,0,0,#DIV/0!,0
947,1027,2,1,2,2,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,5,3,900,3,0,0,1,0,0,0,0,0,#DIV/0!,0
948,,2,1,,,4,4,4,3,4,5,5,5,4,4,4,,,,,,,,,,,,4,3,3,4,4,5,4,3,3,3,4,4,4,4,2,4,4,4,4,3,2,1,3,3,4,3,3,4,3,1,900,3,0,0,1,0,0,0,0,0,#DIV/0!,1
949,1027,1,1,2,2,5,4,4,5,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,1000,6,0,0,0,0,0,1,0,0,#DIV/0!,0
950,1027,2,1,2,2,4,4,3,5,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,4,4,5,4,3,3,4,4,4,3,4,3,4,4,3,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,700,1,1,0,0,0,0,0,0,0,#DIV/0!,1
951,1027,2,1,2,2,5,4,4,5,4,4,5,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,5,2,2,3,3,3,2,4,4,5,4,5,3,3,4,4,4,2,4,5,4,3,4,4,4,3,1200,6,0,0,0,0,0,1,0,0,#DIV/0!,0
952,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,5,5,5,3,4,4,4,4,600,3,0,0,1,0,0,0,0,0,#DIV/0!,0
953,1027,1,1,2,2,4,4,4,4,4,3,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,800,1,1,0,0,0,0,0,0,0,#DIV/0!,0
954,,1,1,,,5,5,5,5,5,4,5,5,5,5,5,,,,,,,,,,,,5,5,5,5,5,5,4,5,4,3,3,4,4,4,4,4,4,4,4,5,4,3,4,4,3,4,3,4,4,3,400,4,0,0,0,1,0,0,0,0,#DIV/0!,0
955,1027,1,1,2,2,5,4,3,5,3,4,4,4,3,2,4,5,4,4,5,4,5,5,5,5,5,5,4,3,4,4,4,4,2,4,4,3,3,3,3,3,3,4,2,3,3,4,4,2,3,4,3,4,4,4,3,3,800,1,1,0,0,0,0,0,0,0,#DIV/0!,1
956,1027,1,1,2,2,4,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,3,3,2,5,4,4,5,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,4,3,2,520,4,0,0,0,1,0,0,0,0,#DIV/0!,0
958,1027,1,1,2,2,4,5,4,3,-1,4,3,4,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,3,4,4,3,3,1,2,2,4,3,5,5,2,5,5,5,5,5,5,4,4,1000,3,0,0,1,0,0,0,0,0,#DIV/0!,0
959,1027,1,1,2,2,5,3,3,5,3,2,1,3,1,3,2,5,3,2,5,3,-1,5,3,3,2,4,5,5,5,5,5,4,2,4,4,2,4,4,3,4,2,3,2,3,4,5,5,5,4,4,-1,2,4,4,3,2,200,1,1,0,0,0,0,0,0,0,#DIV/0!,0
960,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,5,4,4,4,3,3,-1,4,3,4,3,4,4,3,4,4,4,3,3,4,4,3,3,4,3,4,1400,3,0,0,1,0,0,0,0,0,#DIV/0!,1
961,1027,2,1,2,2,5,4,4,5,5,1,2,3,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,4,4,3000,3,0,0,1,0,0,0,0,0,#DIV/0!,2
962,1027,2,1,2,2,4,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,5,5,5,5,2,5,5,2,3,2,1,2,3,3,3,2,2,3,2,3,4,3,3,2,3,2,4,3,4,2,3,5,4,2,450,6,0,0,0,0,0,1,0,0,#DIV/0!,0
963,,1,1,,,5,5,5,5,5,5,5,4,5,3,5,,,,,,,,,,,,5,5,4,5,5,4,3,4,4,3,5,5,5,5,4,5,5,4,5,5,5,3,4,5,5,4,5,5,5,4,350,4,0,0,0,1,0,0,0,0,#DIV/0!,0
964,1027,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,2,1500,1,1,0,0,0,0,0,0,0,#DIV/0!,1
965,1027,1,1,2,2,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,3,5,4,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,4,3,4,5,4,4,3,4,3,2,3,5,4,2,1,500,3,0,0,1,0,0,0,0,0,#DIV/0!,1
966,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,3,4,3,3,4,3,4,3,3,3,4,3,2,4,4,4,4,4,3,3,3,900,8,0,0,0,0,0,0,0,1,#DIV/0!,0
967,1027,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,4,4,700,1,1,0,0,0,0,0,0,0,#DIV/0!,1
968,1027,2,1,2,2,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,5,5,4,4,4,3,3,4,4,4,5,5,4,3,3,3,3,3,2,4,3,4,2,3,4,4,3,1000,5,0,0,0,0,1,0,0,0,#DIV/0!,1
969,1027,1,1,2,2,5,5,5,5,5,4,5,3,4,3,4,5,5,5,5,5,4,4,4,4,5,5,4,5,5,4,4,4,2,2,3,2,3,3,3,4,3,4,2,4,4,5,5,4,4,5,5,5,5,5,4,3,1000,4,0,0,0,1,0,0,0,0,#DIV/0!,1
970,1027,1,1,2,2,4,3,4,5,5,4,3,5,4,2,5,4,5,5,4,4,3,4,3,4,5,4,4,5,5,5,4,4,3,4,4,3,3,4,4,4,4,5,3,3,5,5,5,5,5,5,4,4,4,5,5,3,1000,6,0,0,0,0,0,1,0,0,#DIV/0!,0
971,1027,2,1,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3,3,4,3,3,4,5,5,3,4,3,3,2,3,4,4,4,500,1,1,0,0,0,0,0,0,0,#DIV/0!,0
972,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,#DIV/0!,
973,,1,1,,,5,5,5,5,5,5,5,3,3,3,3,,,,,,,,,,,,5,3,4,5,5,3,2,4,3,2,4,4,4,4,3,3,3,3,3,5,4,4,3,4,3,3,4,4,3,3,1000,1,1,0,0,0,0,0,0,0,211,1
974,1028,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,600,1,1,0,0,0,0,0,0,0,224.6666667,1
975,1028,1,1,2,2,5,4,4,5,4,4,4,3,4,3,4,5,4,3,4,4,4,3,3,4,3,4,4,3,3,4,4,4,4,3,4,2,4,3,3,2,2,2,4,4,4,4,3,3,4,3,4,4,4,4,3,4,550,4,0,0,0,1,0,0,0,0,241,0
976,1028,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,3,4,4,3,5,4,2,2,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,5,4,4,4,3,1000,6,0,0,0,0,0,1,0,0,214.3333333,0
977,,1,1,,,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,5,5,5,5,5,4,2,3,4,4,4,4,3,4,3,4,3,3,4,3,3,3,4,3,3,4,4,3,3,2,650,3,0,0,1,0,0,0,0,0,229,0
978,1028,2,1,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4000,4,0,0,0,1,0,0,0,0,235,0
979,1028,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,3,3,3,2,3,4,4,4,4,3,4,4,4,3,4,4,3,3,1255,3,0,0,1,0,0,0,0,0,250,1
980,1028,1,1,2,2,5,5,5,5,5,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,3,2,3,3,4,4,3,4,3,4,2,4,4,3,5,3,4,4,5,4,4,4,4,4,800,-5,0,0,0,0,0,0,0,0,232,1
981,1028,1,1,2,2,5,3,4,5,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,3,5,4,2,1500,-1,0,0,0,0,0,0,0,0,204.6666667,1
982,1028,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,4,3,2,4,2,3,2,3,4,4,4,2,4,4,4,2,5,5,3,3,1000,6,0,0,0,0,0,1,0,0,226,0
983,1028,2,1,2,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,3,4,4,2,3,3,2,4,4,4,4,3,3,4,5,4,4,4,5,5,5,5,4,4,400,6,0,0,0,0,0,1,0,0,214.6666667,1
