stuID,schID,gender,pre_region,trans_stu,trans_pa,pre_frendship_1a,pre_frendship_2a,pre_frendship_3a,pre_frendship_4a,pre_frendship_5a,pre_frendship_1b,pre_frendship_2b,pre_frendship_3b,pre_frendship_4b,pre_frendship_5b,pre_frendship_6b,post_frendship_1a,post_frendship_2a,post_frendship_3a,post_frendship_4a,post_frendship_5a,post_frendship_1b,post_frendship_2b,post_frendship_3b,post_frendship_4b,post_frendship_5b,post_frendship_6b,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,enthu_pa_6,enthu_pa_7,enthu_pa_8,enthu_pa_9,enthu_pa_10,enthu_pa_11,SES,prefer_Hsch,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,academic_abil,trans_Y1,multicultur_per,sch_SES,sch_academic_abil
815,1023,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,2,2,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,3,400,1,1,0,0,0,0,0,0,0,193.3333333,0,15,,
816,1023,2,1,2,2,5,5,5,5,5,4,4,3,4,3,4,5,5,5,5,4,4,4,3,5,4,5,5,4,4,5,4,4,3,5,4,3,4,4,3,4,3,4,3,4,5,3,4,3,3,3,5,1,5,4,3,2,570,3,0,0,1,0,0,0,0,0,213,0,15,,
817,1023,2,1,2,2,5,3,4,5,3,4,4,4,4,4,4,5,5,5,5,5,3,3,3,3,1,3,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,350,3,0,0,1,0,0,0,0,0,143,0,15,,
818,2004,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,3,2,4,4,4,4,5,5,5,5,5,4,4,5,4,4,3,4,4,4,2,4,4,4,4,100,1,1,0,0,0,0,0,0,0,180,0,#VALUE!,,
819,1023,2,1,2,2,5,5,4,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,4,5,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,4,4,3,3,4,3,3,700,6,0,0,0,0,0,1,0,0,251.3333333,0,15,,
820,1023,1,1,2,2,5,4,4,5,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,3,2,4,4,3,4,4,4,4,4,4,4,5,5,3,3,2,3,3,4,3,3,4,4,4,300,1,1,0,0,0,0,0,0,0,192.3333333,0,15,,
821,1023,1,1,2,2,4,5,5,4,4,3,4,4,3,4,3,5,5,5,5,5,4,4,5,5,5,5,4,4,5,4,4,2,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,3,3,2,4,230,1,1,0,0,0,0,0,0,0,196.3333333,0,15,,
822,1023,1,1,2,2,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,3,2,3,3,3,4,3,3,4,2,3,3,3,3,5,4,3,4,4,5,4,4,5,3,3,380,6,0,0,0,0,0,1,0,0,195,0,15,,
823,1023,2,1,2,2,5,4,4,5,4,4,4,4,4,5,4,4,3,3,4,3,3,4,4,4,4,4,5,3,3,4,5,2,2,4,1,4,4,4,4,4,4,2,5,4,4,3,3,2,4,3,2,4,3,4,4,1,500,2,0,1,0,0,0,0,0,0,224.3333333,0,15,,
824,1023,1,1,2,2,5,3,5,5,5,3,3,1,3,3,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,700,6,0,0,0,0,0,1,0,0,214,0,15,,
825,1023,2,1,2,2,5,4,5,5,5,4,4,4,4,5,5,5,4,3,4,5,4,4,4,4,5,5,4,4,3,4,4,2,5,4,3,-5,3,4,3,3,3,4,3,3,2,3,4,3,4,3,3,2,4,4,4,3,-1,1,1,0,0,0,0,0,0,0,176,0,15,,
826,1023,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,2,3,3,4,2,5,2,4,2,3,5,4,5,4,4,5,5,3,5,5,5,3,320,6,0,0,0,0,0,1,0,0,215,0,15,,
827,1023,1,1,2,2,3,4,4,3,4,2,3,2,3,3,4,3,3,3,2,3,3,3,3,2,1,2,4,3,3,4,5,4,4,4,2,3,3,4,4,4,4,4,4,3,3,4,4,2,3,4,3,2,3,4,4,3,300,1,1,0,0,0,0,0,0,0,235,0,15,,
828,1023,1,1,2,2,4,4,5,4,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,2,2,3,4,3,4,3,3,3,2,3,3,3,4,3,3,4,4,4,2,1,4,4,4,1,328,1,1,0,0,0,0,0,0,0,227.6666667,1,15,,
829,1023,2,1,2,2,4,4,5,4,4,4,4,3,4,3,3,4,4,5,4,4,4,4,4,4,4,4,5,5,4,4,5,3,1,3,3,3,4,3,3,5,4,5,3,5,5,5,5,1,5,5,4,5,5,5,4,4,800,5,0,0,0,0,1,0,0,0,191.3333333,0,15,,
830,1023,1,1,2,2,4,5,5,5,4,4,4,4,5,5,5,4,5,4,4,5,5,4,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,5,4,3,4,4,5,2,4,4,4,3,5,5,4,3,400,1,1,0,0,0,0,0,0,0,172.3333333,0,15,,
831,1024,2,1,2,2,4,4,5,3,4,4,4,4,4,4,5,5,4,3,4,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,3,1,3,-1,4,4,4,250,1,1,0,0,0,0,0,0,0,221,1,7.692307692,,
832,1024,1,1,2,2,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,4,3,3,1,-1,1,3,3,3,3,3,3,2,2,3,4,3,3,3,3,3,2,3,4,4,3,3,4,4,3,2,1,3,3,4,4,1,320,1,1,0,0,0,0,0,0,0,171.3333333,0,7.692307692,,
833,1024,1,1,2,2,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,5,5,5,3,2,2,2,2,3,4,4,4,3,4,5,4,5,3,4,4,3,4,3,4,4,4,3,3,800,1,1,0,0,0,0,0,0,0,215.6666667,0,7.692307692,,
834,1024,1,1,2,2,5,4,3,4,3,3,4,4,3,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,2,5,3,2,2,4,2,2,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,4,4,4,2,-1,2,0,1,0,0,0,0,0,0,137.6666667,0,7.692307692,,
835,1024,1,1,2,2,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,5,5,4,5,5,4,5,4,4,2,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,2,3,3,2,3,3,4,3,2,700,1,1,0,0,0,0,0,0,0,172.3333333,1,7.692307692,,
836,1024,2,1,2,2,5,4,-1,5,4,4,4,3,4,3,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,5,2,3,3,3,3,4,4,3,3,3,3,4,3,3,4,3,2,3,4,2,3,3,3,3,3,250,1,1,0,0,0,0,0,0,0,240.3333333,1,7.692307692,,
837,1024,2,1,2,NA,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,3,4,4,5,5,5,4,3,3,4,4,4,3,3,5,3,3,3,3,3,3,4,3,3,1,4,4,2,50,1,1,0,0,0,0,0,0,0,209.6666667,0,7.692307692,,
838,1024,2,1,2,2,4,4,4,5,5,4,4,3,4,4,4,5,5,5,5,4,5,5,3,4,4,5,3,3,2,3,4,3,3,4,4,3,4,3,3,4,2,4,3,4,4,2,3,3,4,3,3,2,4,-1,3,2,250,1,1,0,0,0,0,0,0,0,173.6666667,0,7.692307692,,
839,1024,2,1,2,2,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,4,3,4,4,3,2,500,3,0,0,1,0,0,0,0,0,210.6666667,0,7.692307692,,
840,1024,1,1,2,2,4,4,5,4,4,3,4,2,4,2,4,5,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,2,3,2,3,4,4,4,3,3,3,4,4,4,5,5,4,5,4,4,4,4,5,4,2,250,1,1,0,0,0,0,0,0,0,188.3333333,0,7.692307692,,
841,1024,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,4,5,4,4,3,2,5,3,2,3,4,3,4,3,4,3,3,4,5,2,1,4,4,5,4,4,5,3,2,300,6,0,0,0,0,0,1,0,0,229.3333333,0,7.692307692,,
842,1024,1,1,2,2,4,4,3,5,4,3,3,3,3,1,2,5,5,5,5,5,4,4,3,4,4,2,4,4,3,3,5,2,1,3,4,3,3,3,2,4,3,4,3,3,4,4,4,4,4,3,2,4,3,4,3,2,600,4,0,0,0,1,0,0,0,0,204.3333333,1,7.692307692,,
843,1024,1,1,2,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,5,4,3,3,4,5,3,4,5,3,5,4,4,1,1,4,3,3,1,250,-1,0,0,0,0,0,0,0,0,200,0,7.692307692,,
844,1024,1,1,2,2,5,4,3,5,4,3,3,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,2,3,4,3,3,300,1,1,0,0,0,0,0,0,0,184.6666667,0,7.692307692,,
845,1024,1,1,2,2,5,4,3,5,4,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,3,3,4,5,4,3,5,3,4,4,4,4,4,4,4,3,3,3,5,4,3,3,4,2,2,3,1,2,3,3,2,1,200,1,1,0,0,0,0,0,0,0,177.6666667,0,7.692307692,,
846,1024,1,1,2,2,5,3,5,5,4,4,4,4,4,4,4,-1,-1,-1,-1,-1,3,4,4,4,4,3,4,3,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,5,2,4,4,3,4,4,5,3,4,4,480,1,1,0,0,0,0,0,0,0,208.3333333,0,7.692307692,,
847,1024,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,3,2,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,180,1,1,0,0,0,0,0,0,0,201.3333333,0,7.692307692,,
848,1024,2,1,2,2,4,3,3,4,3,3,4,3,3,2,4,4,3,3,4,4,3,4,4,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,800,3,0,0,1,0,0,0,0,0,227.6666667,0,7.692307692,,
849,1024,2,1,2,2,5,4,3,3,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,5,2,4,5,5,5,5,4,4,2,480,6,0,0,0,0,0,1,0,0,214,0,7.692307692,,
850,1024,1,1,2,2,5,5,5,5,5,4,4,3,4,4,4,5,5,4,4,4,4,4,5,5,3,5,5,5,5,5,5,3,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,3,4,4,3,800,1,1,0,0,0,0,0,0,0,233,0,7.692307692,,
851,1024,2,1,2,2,5,4,4,5,4,4,4,2,4,1,5,4,3,3,5,4,3,3,2,5,2,3,3,3,4,3,5,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,4,3,4,4,4,4,4,3,3,2,330,1,1,0,0,0,0,0,0,0,194.3333333,3,7.692307692,,
852,2015,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,2,2,4,3,3,3,3,3,3,3,3,4,4,4,4,2,2,4,2,2,2,2,4,3,3,521,1,1,0,0,0,0,0,0,0,181.6666667,0,#VALUE!,,
853,1024,2,1,2,2,5,4,4,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,3,4,4,3,2,4,3,3,3,3,3,3,3,4,3,3,-1,3,5,3,4,4,4,3,4,3,3,3,380,1,1,0,0,0,0,0,0,0,222.3333333,0,7.692307692,,
854,1024,1,1,2,2,5,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,3,5,4,3,2,2,-1,3,3,4,4,4,4,3,4,5,4,4,4,4,2,5,5,5,4,4,3,4,4,450,3,0,0,1,0,0,0,0,0,180.6666667,0,7.692307692,,
855,1024,2,1,2,NA,3,3,3,4,4,4,4,4,4,3,5,4,3,3,4,3,4,4,3,4,5,5,4,2,1,4,4,2,3,3,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,2,3,3,4,4,3,3,4,3,170,1,1,0,0,0,0,0,0,0,190,0,7.692307692,,
856,1024,2,1,2,2,5,4,4,5,3,3,3,3,3,3,3,5,4,4,5,4,3,3,5,5,5,5,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3,4,3,3,2,4,3,2,3,4,4,3,1,500,2,0,1,0,0,0,0,0,0,172.3333333,1,7.692307692,,
857,1024,1,1,2,2,2,3,5,3,3,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,5,4,4,3,4,5,4,3,5,5,4,4,370,6,0,0,0,0,0,1,0,0,135,0,7.692307692,,
858,1024,1,1,2,2,5,5,5,5,5,3,3,3,2,2,5,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,4,1,2,2,2,2,3,3,3,2,350,2,0,1,0,0,0,0,0,0,160,0,7.692307692,,
859,1024,1,1,2,2,5,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,4,3,4,4,3,4,4,2,2,4,3,2,4,3,3,4,4,4,4,3,4,3,3,2,3,2,2,3,4,4,4,2,600,3,0,0,1,0,0,0,0,0,143.6666667,1,7.692307692,,
860,1024,1,1,2,2,5,4,4,3,4,5,5,4,4,3,3,5,5,4,3,4,5,5,5,5,4,3,4,4,5,4,4,2,2,3,3,3,4,3,3,3,3,4,4,3,4,3,4,2,3,3,2,2,4,4,4,2,300,1,1,0,0,0,0,0,0,0,185.6666667,0,7.692307692,,
861,1024,1,1,2,2,5,5,4,5,5,5,4,4,5,5,5,5,5,4,5,4,3,4,5,4,5,-1,4,5,3,4,4,3,4,4,4,3,3,3,4,4,4,4,5,4,4,3,5,4,4,3,3,3,4,4,4,2,160,1,1,0,0,0,0,0,0,0,201,1,7.692307692,,
862,1024,2,1,2,2,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,4,4,4,4,4,5,3,3,3,5,4,2,2,2,2,3,3,2,2,2,2,3,2,3,3,4,4,4,3,5,4,4,5,3,2,1,200,1,1,0,0,0,0,0,0,0,194.3333333,0,7.692307692,,
863,1024,2,1,2,2,4,3,4,5,4,4,4,5,4,4,5,5,4,4,5,4,5,4,4,5,4,5,4,3,3,4,5,4,4,5,4,3,5,3,4,4,4,4,4,4,4,2,4,3,3,4,4,3,3,4,3,3,500,1,1,0,0,0,0,0,0,0,182.3333333,5,7.692307692,,
864,1024,1,1,2,2,5,4,5,5,5,3,3,3,3,3,3,4,4,3,4,5,3,3,4,5,3,4,2,3,2,4,3,4,3,3,3,3,4,3,4,4,3,3,4,3,5,3,3,3,3,3,3,3,3,3,4,3,120,5,0,0,0,0,1,0,0,0,150.3333333,0,7.692307692,,
865,1024,2,1,2,2,5,4,4,5,5,4,4,3,4,4,5,5,4,5,5,5,5,5,3,5,3,5,4,4,3,4,5,2,2,4,4,3,3,2,2,3,2,3,4,3,3,4,5,2,5,5,4,4,4,5,5,2,320,6,0,0,0,0,0,1,0,0,257.3333333,0,7.692307692,,
866,1024,2,1,2,2,5,4,4,5,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,2,3,5,2,4,4,3,4,4,3,2,4,5,3,4,4,1,2,4,4,4,4,1100,2,0,1,0,0,0,0,0,0,218.3333333,0,7.692307692,,
867,1024,2,1,2,2,5,4,4,4,3,2,3,2,2,1,2,4,4,4,4,4,4,4,4,4,4,3,4,5,5,3,4,2,2,3,-1,1,2,1,2,2,2,2,3,3,3,3,4,4,4,3,4,3,3,4,3,2,400,3,0,0,1,0,0,0,0,0,231.3333333,2,7.692307692,,
868,1013,1,1,1,1,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,3,3,4,4,4,5,4,5,3,3,3,3,3,3,4,4,4,4,4,3,3,4,2,3,2,3,3,3,3,3,4,3,2,700,1,1,0,0,0,0,0,0,0,172,1,6.25,,
869,1024,1,1,2,2,4,4,4,5,4,4,4,3,4,3,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,3,3,3,2,4,3,3,4,4,4,4,3,4,4,3,4,4,3,3,4,4,3,2,4,4,4,4,120,1,1,0,0,0,0,0,0,0,191.6666667,1,7.692307692,,
870,1024,2,1,2,2,4,5,4,4,4,3,4,5,4,5,5,4,4,4,5,4,4,4,4,4,5,5,3,3,2,4,4,3,3,3,3,3,4,3,2,2,2,3,3,3,3,3,4,2,3,4,3,3,4,3,5,2,500,1,1,0,0,0,0,0,0,0,183.3333333,0,7.692307692,,
871,1024,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,3,5,5,3,2,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,700,1,1,0,0,0,0,0,0,0,248.3333333,0,7.692307692,,
872,1024,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,3,3,3,4,3,3,3,3,4,4,3,3,2,3,1,2,4,3,3,5,3,3,1,400,3,0,0,1,0,0,0,0,0,204.3333333,0,7.692307692,,
873,1024,2,1,2,2,5,3,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,3,4,4,4,3,3,2,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,2,4,3,2,3,4,3,2,240,1,1,0,0,0,0,0,0,0,170,0,7.692307692,,
874,1025,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,3,4,3,3,4,4,4,4,4,5,4,5,5,4,5,4,5,3,5,4,4,5,5,5,5,3,600,1,1,0,0,0,0,0,0,0,248.3333333,0,12.28070175,,
875,1025,2,1,2,2,5,5,4,5,4,4,4,5,5,5,5,4,5,4,5,5,4,5,4,5,5,5,4,5,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,500,6,0,0,0,0,0,1,0,0,238.3333333,0,12.28070175,,
876,1025,1,1,2,2,3,3,3,4,5,3,3,3,3,3,4,4,3,4,3,4,4,4,3,4,4,5,5,4,5,4,5,3,4,3,4,3,4,4,4,4,3,4,4,4,4,3,2,1,2,2,1,2,2,3,2,1,470,1,1,0,0,0,0,0,0,0,173.6666667,1,12.28070175,,
877,1025,1,1,2,2,5,5,5,5,4,3,3,4,4,4,5,5,5,4,5,4,3,3,3,3,5,5,4,3,2,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4,3,400,4,0,0,0,1,0,0,0,0,178,0,12.28070175,,
878,1025,1,1,2,2,5,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,1,2,3,3,3,3,4,4,3,2,2,3,3,3,3,4,2,4,4,4,3,4,4,4,3,300,8,0,0,0,0,0,0,0,1,212.6666667,0,12.28070175,,
879,1025,1,1,2,2,3,3,4,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4,4,2,2,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,2,3,3,2,200,5,0,0,0,0,1,0,0,0,132.3333333,0,12.28070175,,
880,1025,1,1,2,2,5,5,5,5,4,5,5,4,5,3,4,4,4,4,4,3,4,4,3,4,3,4,5,5,5,5,5,4,3,4,4,4,5,4,4,5,5,5,4,4,4,4,4,3,3,4,4,2,5,5,5,4,550,4,0,0,0,1,0,0,0,0,235.6666667,0,12.28070175,,
881,1025,2,1,2,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,3,3,3,3,2,2,2,3,2,3,3,3,3,1,2,3,4,4,1,750,1,1,0,0,0,0,0,0,0,219.6666667,1,12.28070175,,
882,1025,1,1,2,2,4,4,5,5,4,4,4,5,4,4,3,5,5,5,5,5,4,4,4,3,4,5,4,4,3,4,5,3,2,2,2,1,3,3,4,4,3,3,2,3,3,3,4,2,3,4,2,2,3,5,4,2,500,1,1,0,0,0,0,0,0,0,210.3333333,0,12.28070175,,
883,1025,1,1,2,2,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,3,3,4,2,4,4,3,5,3,4,4,4,4,3,3,2,4,3,4,3,4,4,3,3,600,5,0,0,0,0,1,0,0,0,152,0,12.28070175,,
884,1025,1,1,2,2,5,4,5,5,4,5,5,4,3,4,4,5,4,4,4,4,3,3,2,3,4,3,4,5,5,5,5,3,3,3,3,2,4,4,4,4,2,4,4,3,4,3,4,4,4,4,1,2,3,4,3,2,350,1,1,0,0,0,0,0,0,0,240.6666667,0,12.28070175,,
885,1025,2,1,2,2,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,2,1,2,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,5,4,4,4,4,3,220,1,1,0,0,0,0,0,0,0,200.6666667,0,12.28070175,,
886,1025,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,3,2,4,3,2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,2,300,1,1,0,0,0,0,0,0,0,232.3333333,0,12.28070175,,
887,1025,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,3,5,3,2,1,1,3,1,1,2,2,1,1,1,3,3,2,2,2,2,2,4,1,3,3,4,4,1,320,6,0,0,0,0,0,1,0,0,209,0,12.28070175,,
888,1025,2,1,2,2,3,5,4,4,3,3,2,3,3,3,3,5,3,3,4,3,3,3,3,3,3,4,3,2,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,2,3,4,3,3,3,4,3,3,200,1,1,0,0,0,0,0,0,0,163,0,12.28070175,,
889,1025,1,1,2,2,5,3,3,4,3,4,3,4,4,4,5,5,5,4,4,4,3,4,4,3,3,4,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,2,2,3,4,4,1,400,1,1,0,0,0,0,0,0,0,235.6666667,0,12.28070175,,
890,1025,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,3,3,3,4,4,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,470,5,0,0,0,0,1,0,0,0,190,0,12.28070175,,
891,1025,1,1,2,2,5,5,5,4,3,4,5,4,4,4,3,5,5,5,5,4,4,4,4,4,4,4,5,3,3,4,4,2,3,3,4,4,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,3,200,4,0,0,0,1,0,0,0,0,148,0,12.28070175,,
892,1025,1,1,2,2,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,1,3,4,3,3,3,2,3,2,2,3,4,3,4,4,4,4,4,1,2,4,5,5,3,400,1,1,0,0,0,0,0,0,0,227.6666667,0,12.28070175,,
893,1025,2,1,2,2,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,2,4,3,3,4,3,3,3,3,2,3,4,3,3,4,2,3,4,3,4,3,4,4,3,250,5,0,0,0,0,1,0,0,0,197.3333333,0,12.28070175,,
894,1025,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5,3,3,3,4,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,350,1,1,0,0,0,0,0,0,0,185.6666667,0,12.28070175,,
895,1025,2,1,2,2,5,4,5,5,4,4,3,2,2,4,3,5,3,3,5,4,4,4,5,5,5,5,3,4,5,5,5,4,2,4,4,4,4,3,3,4,3,4,4,4,4,3,4,1,4,4,3,3,4,4,4,1,300,1,1,0,0,0,0,0,0,0,197.6666667,0,12.28070175,,
896,1025,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4,5,5,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,4,2,4,4,3,3,4,4,4,4,350,5,0,0,0,0,1,0,0,0,192.3333333,0,12.28070175,,
897,1025,2,1,2,2,4,4,5,5,4,5,5,4,4,3,3,5,4,5,5,3,3,4,5,5,5,5,5,5,4,5,5,3,3,4,4,2,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,2,3,5,4,4,200,1,1,0,0,0,0,0,0,0,188.3333333,0,12.28070175,,
898,1025,1,1,2,2,5,5,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,4,3,4,2,2,3,3,3,2,480,1,1,0,0,0,0,0,0,0,217.3333333,0,12.28070175,,
899,1025,1,1,2,2,5,5,5,5,5,-1,-1,-1,-1,-1,-1,5,5,4,5,4,4,4,4,4,4,4,5,4,4,5,5,3,2,4,3,3,4,4,3,4,4,4,3,4,4,3,3,2,4,2,2,3,3,4,4,3,8000,1,1,0,0,0,0,0,0,0,229,0,12.28070175,,
900,1025,1,1,2,2,4,4,4,5,3,5,5,5,5,5,3,5,5,4,5,5,5,5,4,4,4,5,4,3,4,5,4,3,2,3,4,3,5,4,4,4,4,4,4,4,3,2,2,2,2,3,3,2,3,3,3,2,150,1,1,0,0,0,0,0,0,0,195.3333333,0,12.28070175,,
901,1025,1,1,2,2,4,4,4,4,3,3,3,1,3,2,2,4,4,4,4,4,5,5,4,5,4,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,2,2,2,2,3,3,3,3,700,-5,0,0,0,0,0,0,0,0,208.6666667,0,12.28070175,,
